                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.54613,                0.36416,                0.96769,                      0,                      0,                      0,                      0,                      0,                 224.12,                      0,              0.0006635,              0.0006635,              0.0006635
                    137,                0.50097,                0.33781,                0.94774,                      0,                      0,                      0,                      0,                      0,                  238.5,                      0,              0.0006536,              0.0006536,              0.0006536
                    138,                0.46213,                0.31773,                 0.8983,                      0,                      0,                      0,                      0,                      0,                  267.5,                      0,              0.0006437,              0.0006437,              0.0006437
                    139,                0.57306,                 0.3701,                0.95959,                      0,                      0,                      0,                      0,                      0,                 269.42,                      0,              0.0006338,              0.0006338,              0.0006338
                    140,                 0.5401,                0.35407,                0.94242,                      0,                      0,                      0,                      0,                      0,                 251.92,                      0,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.5156,                 0.3464,                0.88015,                      0,                      0,                      0,                      0,                      0,                 245.88,                      0,               0.000614,               0.000614,               0.000614
                    142,                0.63278,                0.46352,                 1.0276,                      0,                      0,                      0,                      0,                      0,                 244.71,                      0,              0.0006041,              0.0006041,              0.0006041
                    143,                0.51376,                0.31981,                0.90294,                      0,                      0,                      0,                      0,                      0,                 246.33,                      0,              0.0005942,              0.0005942,              0.0005942
                    144,                 0.4799,                0.31118,                0.89972,                      0,                      0,                      0,                      0,                      0,                 247.75,                      0,              0.0005843,              0.0005843,              0.0005843
                    145,                0.51704,                0.31947,                0.90778,                      0,                      0,                      0,                      0,                      0,                 251.17,                      0,              0.0005744,              0.0005744,              0.0005744
                    146,                0.52886,                0.31995,                0.96041,                      0,                      0,                      0,                      0,                      0,                 259.67,                      0,              0.0005645,              0.0005645,              0.0005645
                    147,                0.46899,                 0.2959,                0.91544,                      0,                      0,                      0,                      0,                      0,                 259.92,                      0,              0.0005546,              0.0005546,              0.0005546
                    148,                0.56148,                0.37475,                0.93713,                      0,                      0,                      0,                      0,                      0,                 255.17,                      0,              0.0005447,              0.0005447,              0.0005447
                    149,                 0.4482,                0.30427,                0.92358,                      0,                      0,                      0,                      0,                      0,                 255.08,                      0,              0.0005348,              0.0005348,              0.0005348
                    150,                0.53499,                0.32762,                0.98137,                      0,                      0,                      0,                      0,                      0,                 265.25,                      0,              0.0005249,              0.0005249,              0.0005249
                    151,                0.49188,                0.32413,                  0.947,                      0,                      0,                      0,                      0,                      0,                 270.33,                      0,               0.000515,               0.000515,               0.000515
                    152,                0.44691,                 0.3061,                0.91448,                      0,                      0,                      0,                      0,                      0,                 271.83,                      0,              0.0005051,              0.0005051,              0.0005051
                    153,                 0.4992,                0.33636,                0.96852,                      0,                      0,                      0,                      0,                      0,                 268.04,                      0,              0.0004952,              0.0004952,              0.0004952
                    154,                0.43943,                0.30096,                0.87532,                      0,                      0,                      0,                      0,                      0,                 260.79,                      0,              0.0004853,              0.0004853,              0.0004853
                    155,                0.54072,                0.35536,                0.89836,                      0,                      0,                      0,                      0,                      0,                 257.67,                      0,              0.0004754,              0.0004754,              0.0004754
                    156,                0.48209,                0.31699,                0.91681,                      0,                      0,                      0,                      0,                      0,                 259.83,                      0,              0.0004655,              0.0004655,              0.0004655
