                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.59777,                0.42938,                0.84613,                      0,                      0,                      0,                      0,                      0,                 146.34,                      0,              0.0002576,              0.0002576,              0.0002576
                     90,                0.63104,                  0.438,                0.87686,                      0,                      0,                      0,                      0,                      0,                 147.44,                      0,              0.0002378,              0.0002378,              0.0002378
                     91,                0.62265,                0.44009,                0.87948,                      0,                      0,                      0,                      0,                      0,                 145.66,                      0,               0.000218,               0.000218,               0.000218
                     92,                0.62941,                0.45039,                0.86474,                      0,                      0,                      0,                      0,                      0,                 142.22,                      0,              0.0001982,              0.0001982,              0.0001982
                     93,                0.58508,                0.42783,                 0.8336,                      0,                      0,                      0,                      0,                      0,                 142.22,                      0,              0.0001784,              0.0001784,              0.0001784
                     94,                0.54057,                0.41514,                0.83482,                      0,                      0,                      0,                      0,                      0,                 141.22,                      0,              0.0001586,              0.0001586,              0.0001586
                     95,                0.57384,                0.40106,                0.85918,                      0,                      0,                      0,                      0,                      0,                 142.22,                      0,              0.0001388,              0.0001388,              0.0001388
                     96,                0.56062,                0.40879,                0.86303,                      0,                      0,                      0,                      0,                      0,                 144.25,                      0,               0.000119,               0.000119,               0.000119
                     97,                0.53291,                0.36659,                 0.8113,                      0,                      0,                      0,                      0,                      0,                 144.25,                      0,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.53905,                0.38615,                0.84557,                      0,                      0,                      0,                      0,                      0,                 146.88,                      0,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.49828,                0.36983,                0.85726,                      0,                      0,                      0,                      0,                      0,                 149.97,                      0,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.5273,                0.39029,                0.83834,                      0,                      0,                      0,                      0,                      0,                 152.41,                      0,               3.98e-05,               3.98e-05,               3.98e-05
